match_id,venue,team_1,team_2,match_type,toss_winner,toss_decision,match_winner
361047,Barabati Stadium,India,England,ODI,India,field,India
366341,R Premadasa Stadium,Sri Lanka,India,ODI,India,bat,India
366623,McLean Park,New Zealand,India,ODI,India,bat,India
366624,Seddon Park,New Zealand,India,ODI,New Zealand,bat,India
366625,Eden Park,New Zealand,India,ODI,India,bat,New Zealand
366626,Westpac Stadium,New Zealand,India,ODI,India,bat,Unknown
366627,AMI Stadium,New Zealand,India,ODI,New Zealand,field,India
366709,Queenstown Events Centre,New Zealand,West Indies,ODI,New Zealand,field,Unknown
366711,Westpac Stadium,New Zealand,West Indies,ODI,New Zealand,field,New Zealand
374059,Sheikh Zayed Stadium,Pakistan,West Indies,ODI,West Indies,bat,Pakistan
374060,Sheikh Zayed Stadium,Pakistan,West Indies,ODI,Pakistan,bat,Pakistan
375456,Harare Sports Club,Zimbabwe,Sri Lanka,ODI,Sri Lanka,field,Sri Lanka
